# z          x          x          x          x          x          x          x          x 
         0          0          0          0          0          0          0          0          0
         3          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          4          0          0
         0         20          0         39         10          0         26          0         21
         0          0          0          0          0          0          0          0          0
         0         -1          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0         -1
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         3          0          0          0          0          0         -1         -1          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          2          0          0
        19          0         23         33         23         31         18         41         13
         0          0          0          0          0          0          0          1          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0         -1          0          0          0
         0          0          0         -1          0          0          0          0          0
         2          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0         23         11         22          0         20         26         18         12
         0          0          0          0          0          0          0          3          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0         -1          0
         0          0         -1          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         1          0          0         -1          0          0          0          0          0
         0          0          0         -1          0          0          0          0          0
         0          0          0          0          0          0          4          0          0
        45         31          0          0          9         10         10         18         23
         0          0          0          0          0          0          2          2          0
        11         40         23         19         33          0          0         10         23
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0         -1          0          0          0          0          0          0
         0          0          0          0          0          0          0          0         -1
         0         30         11          0         12         10         19          9         22
         0          0          0          0          0          0          0          5          0
         0          0          0          0          0         -1          0          0          0
         1          0          0          0          0          0          0          0          0
         0          0          0          0          0          0         -1          0          0
        -1          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0         -1          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0         -1          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          3          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          6          0          0          0          0
         0          0         -1          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          3          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0         -1          0         -1          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0         -1          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0         -1          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0         -1          0
         0          0          0          0          0          0          0          0          0
         0         -1          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          5          0          0
        19          0          0         21          9         39          0          0         34
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0         -1          0          0          0          0          0
         0          0          0          0          0          0          0          0          0
         0          0          0          0          0          0         -1          0         -1
